Glasart;Staerke;PreisProQm
Ornament 176 Madera weiß;4;185.61
Ornament 502 weiß;;185.61
Ornament 504 weiß;4;168.98
Ornament 521 Waterdrop;4;178.12
Ornament 553 weiß;4;185.61
Ornament 550 weiß;4;178.12
Ornament 528 Monumental S;4;178.12
Ornament 523 Monumental M;4;178.12
Ornament 550 weiß;4;185.61
Ornament 552 Listral F weiß;4;185.61
Kathe großgehämmert weiß;4;168.98
Kathe kleingehämmert weiß;4;168.98
Listral blank weiß;4;185.61
Gothic weiß;4;185.61
Flutes weiß;4;185.61
Farao bronze;4;210.37
Delta weiß-matt;4;185.61
Delta weiß;4;178.12
Edelit doppelseitig weiß;4;185.61
Ornament CH bronze;4;210.37
Ornament CH weiß;4;178.12
Altdeutsch K weiß;4;209.54
Niagara weiß;5;185.61
Ornament 187 Abstracto weiß;4;153.98
VSG 12 (6.6.2) matt;12;644.22
VSG 10 (5.5.2) matt;10;482.75
VSG 8 (4.4.2) matt;8;369.13
VSG 6 (3.3.1) matt;6;320.24
VSG 8.4 (4.4.4)/P4A;10;573.72
VSG 8.6 (4.4.6)/P5A;11;623.2
VSG 8.2 (4.4.2)/P2A;9;410.54
VSG 6.2 (3.3.2)/P2A;6;344.04
Verbundsicherheitsglas (VSG);12;468.84
Verbundsicherheitsglas (VSG);10;438.84
Verbundsicherheitsglas (VSG);8;324.4
Verbundsicherheitsglas (VSG);6;275.08
Einscheibensicherheitsglas (ESG);12;475.05
Einscheibensicherheitsglas (ESG);10;353.32
Einscheibensicherheitsglas (ESG);8;274.04
Einscheibensicherheitsglas (ESG);6;198.3
Einscheibensicherheitsglas (ESG);5;165.42
Einscheibensicherheitsglas (ESG);4;140.66
Weißglas;10;525.4
Weißglas;8;499.6
Weißglas;6;371.42
Weißglas;4;218.07
Spiegel Mirox Safe;6;252.19
Doppelspiegel (3.3.1);6;498.84
VSG-Spiegel (3.3.2) P2A;6;484.45
VSG-Spiegel (3.3.1);6;454.45
Planibel Dark Grey;10;502.72
Planibel Dark Grey;8;365
Planibel Dark Grey;6;335
Float grau;10;502.72
Float grau;8;386.61
Float grau;6;285.07
Float grau;5;238.46
Float grau;4;193.23
Float bronze;10;502.72
Float bronze;8;386.61
Float bronze;6;285.07
Float bronze;5;238.46
Float bronze;4;193.23
Spionspiegel;6;1168.58
Eisblume weiß;4;310.04
Edelit doppelseitig weiß;4;153.98
Drahtspiegelglas;7;432.81
Drahtornament 523 weiß;7;221.61
Drahtornament 521 weiß;7;221.61
Drahtornament 187 weiß;7;221.61
Drahtglas;7;156.68
Satinato;12;655.04
Satinato;10;451.95
Satinato;8;365.8
Satinato;6;291.73
Satinato;4;232.43
Spiegel grau;6;252.19
Spiegel grau;4;191.23
Spiegel bronze;6;252.19
Spiegel bronze;4;191.23
Spiegelglas;6;179.78
Spiegelglas;5;159.81
Spiegelglas;4;136.92
Spiegelglas;3;121.93
Floatglas;19;1072.65
Floatglas;15;715.17
Floatglas;12;499.6
Floatglas;10;371.42
Floatglas;8;218.07
Floatglas;6;176.87
Floatglas;5;147.53
Floatglas;4;125.06
Floatglas;3;98.01
Floatglas;2;91.76